rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag,unstable,max_real
6.5,7.6,5.4,5.08,10.92,1.3007464407803944e-19,3.042304619353043e-20,1.0,-59.61,0.0,18.52,0.0,True,18.52
6.5,9.0,5.4,3.0,9.0,1.3377893172887522e-19,2.4873879204824302e-20,1.0,-58.93,0.0,18.52,0.0,True,18.52
5.84,5.0,5.4,5.08,12.5,1.3670483111418867e-19,2.1536863381033113e-20,1.0,-52.2448,0.0,18.52,0.0,True,18.52
6.5,7.6,5.4,7.0,9.0,1.4104527073927889e-19,5.699123363093342e-20,1.0,-61.53,0.0,18.52,0.0,True,18.52
5.84,5.0,5.4,5.08,10.92,1.4310640449295643e-19,2.290798310099938e-20,1.0,-52.2448,0.0,18.52,0.0,True,18.52
6.5,7.6,5.4,5.08,9.0,1.48305787173652e-19,3.559221658702864e-20,1.0,-59.61,0.0,18.52,0.0,True,18.52
5.84,5.0,5.4,5.08,9.0,1.54498158174452e-19,2.5395764336169556e-20,1.0,-52.2448,0.0,18.52,0.0,True,18.52
6.5,5.0,5.4,7.0,12.5,1.5976910490283047e-19,3.097798906491261e-20,1.0,-58.93,0.0,18.52,0.0,True,18.52
6.5,7.6,5.4,3.0,12.5,1.6451854656673695e-19,1.839365177423655e-20,1.0,-57.53,0.0,18.52,0.0,True,18.52
6.5,7.6,5.4,3.0,10.92,1.6919415266745026e-19,1.9151525718229502e-20,1.0,-57.53,0.0,18.52,0.0,True,18.52
6.5,5.0,5.4,7.0,10.92,1.7430548908052295e-19,3.45470956934942e-20,1.0,-58.93,0.0,18.52,0.0,True,18.52
6.5,7.6,5.4,3.0,9.0,1.7734207880272792e-19,2.049321347958408e-20,1.0,-57.53,0.0,18.52,0.0,True,18.52
6.5,5.0,5.4,7.0,9.0,2.0142920665523129e-19,4.1373068464257777e-20,1.0,-58.93,0.0,18.52,0.0,True,18.52
6.5,5.0,5.4,5.08,12.5,2.1537450889294353e-19,2.139166814192948e-20,1.0,-57.01,0.0,18.52,0.0,True,18.52
5.84,5.0,5.4,3.0,12.5,2.200132085211702e-19,1.407142829797776e-20,1.0,-50.1648,0.0,18.52,0.0,True,18.52
5.84,5.0,5.4,3.0,10.92,2.2041400660852055e-19,1.4110792482391838e-20,1.0,-50.1648,0.0,18.52,0.0,True,18.52
5.84,5.0,5.4,3.0,9.0,2.2109109917633495e-19,1.4177527944028324e-20,1.0,-50.1648,0.0,18.52,0.0,True,18.52
6.5,5.0,5.4,5.08,10.92,2.2438050566677424e-19,2.2740466506157104e-20,1.0,-57.01,0.0,18.52,0.0,True,18.52
6.5,5.0,5.4,5.08,9.0,2.4030683115454283e-19,2.5185531213610376e-20,1.0,-57.01,0.0,18.52,0.0,True,18.52
6.5,5.0,5.4,3.0,12.5,3.362523052734384e-19,1.3973460709765645e-20,1.0,-54.93,0.0,18.52,0.0,True,18.52
6.5,5.0,5.4,3.0,10.92,3.368383045762954e-19,1.400622037397637e-20,1.0,-54.93,0.0,18.52,0.0,True,18.52
6.5,5.0,5.4,3.0,9.0,3.378272506973908e-19,1.40617666830203e-20,1.0,-54.93,0.0,18.52,0.0,True,18.52
5.0,9.0,7.0,7.0,12.5,1.4789072102852867e-20,9.031867372554127e-21,1.0,-52.1,0.0,20.119999999999997,0.0,True,20.119999999999997
5.0,9.0,7.0,5.08,12.5,1.71103941449599e-20,5.6998802656655704e-21,1.0,-50.18000000000001,0.0,20.119999999999997,0.0,True,20.119999999999997
5.0,9.0,7.0,7.0,10.92,1.731427881787645e-20,1.0497728151277734e-20,1.0,-52.1,0.0,20.119999999999997,0.0,True,20.119999999999997
