a,rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag
0.1,3.0,1.0,7.0,7.0,10.0,0.5616808500082543,-1.0360689154660582e-27,0.7791602359138035,0.6489127910921021,0.0,17.136175402227938,0.0
0.1,3.0,1.0,7.0,7.0,10.0,0.9441911443531814,2.2122472071524284e-23,0.3759521580475209,-1.2947022528857122,0.0,13.449672326148638,0.0
0.1,3.0,1.0,7.0,7.0,12.0,1.4080333048228316e-21,-8.665780024891886e-26,1.0,-1.2999999670000002,0.0,20.1199998688,0.0
0.1,3.0,1.0,7.0,7.0,12.0,0.6335197181932155,1.113944863628641e-23,0.7658807805518935,0.3997612926499087,0.0,16.92901650626013,0.0
0.1,3.0,1.0,7.0,7.0,12.0,0.854185809589945,-8.172407679320166e-24,0.5743805182388493,-0.5811170986265838,0.0,14.88946201292073,0.0
0.1,3.0,1.0,7.0,7.0,14.0,1.4079855818935094e-21,-8.666221293960744e-26,1.0,-1.2999999670000002,0.0,20.1199998688,0.0
0.1,3.0,1.0,9.0,0.5,6.0,1.3004916652137344e-21,-5.580019168660493e-26,1.0,-1.2999999670000002,0.0,22.1199998688,0.0
0.1,3.0,1.0,9.0,0.5,8.0,1.326743555122522e-21,-5.665484389947017e-26,1.0,-1.299999967,0.0,22.1199998688,0.0
0.1,3.0,1.0,9.0,0.5,10.0,1.3426837392681864e-21,-5.716626458136649e-26,1.0,-1.2999999670000002,0.0,22.1199998688,0.0
0.1,3.0,1.0,9.0,0.5,12.0,1.3533896924681901e-21,-5.750649936534194e-26,1.0,-1.2999999670000002,0.0,22.1199998688,0.0
0.1,3.0,1.0,9.0,0.5,14.0,1.3610759555427674e-21,-5.774923433106877e-26,1.0,-1.2999999670000002,0.0,22.1199998688,0.0
0.1,3.0,1.0,9.0,1.0,6.0,1.3066849616935266e-21,-5.599582919109974e-26,1.0,-1.2999999670000002,0.0,22.1199998688,0.0
0.1,3.0,1.0,9.0,1.0,8.0,1.3314561786158761e-21,-5.68010204415052e-26,1.0,-1.2999999670000002,0.0,22.1199998688,0.0
0.1,3.0,1.0,9.0,1.0,10.0,1.3464866357438652e-21,-5.728295898781284e-26,1.0,-1.2999999670000002,0.0,22.1199998688,0.0
0.1,3.0,1.0,9.0,1.0,12.0,1.3565770944220665e-21,-5.760362170132145e-26,1.0,-1.2999999670000002,0.0,22.1199998688,0.0
0.1,3.0,1.0,9.0,1.0,14.0,1.3638189195735295e-21,-5.783236363044435e-26,1.0,-1.299999967,0.0,22.1199998688,0.0
0.1,3.0,1.0,9.0,3.0,6.0,1.3316779431935519e-21,-5.677636853821705e-26,1.0,-1.2999999670000002,0.0,22.1199998688,0.0
0.1,3.0,1.0,9.0,3.0,8.0,1.3504314262082879e-21,-5.738467274077978e-26,1.0,-1.2999999670000002,0.0,22.1199998688,0.0
0.1,3.0,1.0,9.0,3.0,10.0,1.3617780859246248e-21,-5.77488075449931e-26,1.0,-1.2999999670000002,0.0,22.1199998688,0.0
0.1,3.0,1.0,9.0,3.0,12.0,1.3693819603662608e-21,-5.79912836657354e-26,1.0,-1.2999999670000002,0.0,22.1199998688,0.0
0.1,3.0,1.0,9.0,3.0,14.0,1.3748329765995635e-21,-5.816432461937871e-26,1.0,-1.2999999670000002,0.0,22.1199998688,0.0
0.1,3.0,1.0,9.0,5.0,6.0,1.3570250222658255e-21,-5.755387570122991e-26,1.0,-1.2999999670000002,0.0,22.1199998688,0.0
0.1,3.0,1.0,9.0,5.0,6.0,0.5169341926674625,-3.6873981736911e-19,0.777315867042699,0.7949407331063677,0.0,18.360235973141,0.0
0.1,3.0,1.0,9.0,5.0,6.0,0.9865884206565341,-4.3159347686302336e-23,0.18886940685537146,-1.9716075510813704,0.0,12.72076077770067,0.0
0.1,3.0,1.0,9.0,5.0,8.0,1.3696070318488513e-21,-5.796636983597481e-26,1.0,-1.2999999670000002,0.0,22.1199998688,0.0
0.1,3.0,1.0,9.0,5.0,8.0,0.6007262241237861,9.866948351342296e-24,0.7744550022812366,0.5158623582557362,0.0,18.25097954652686,0.0
0.1,3.0,1.0,9.0,5.0,8.0,0.8961133981567004,-1.9494620999686636e-28,0.49811298602753173,-0.8609554116816872,0.0,14.758814565899973,0.0
0.1,3.0,1.0,9.0,5.0,10.0,1.3771982214071313e-21,-5.821352365536605e-26,1.0,-1.299999967,0.0,22.1199998688,0.0
0.1,3.0,1.0,9.0,5.0,12.0,1.38227664285768e-21,-5.837817679891556e-26,1.0,-1.2999999670000004,0.0,22.1199998688,0.0
